"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"4108","Rez Infinite","24,000","30,000","6,000","25%","$24.99","50% ($12.49)","91% (89%)"
"4109","Moero Chronicle | 限界凸記 モエロクロニクル | 極限凸記　萌萌編年史","19,000","30,000","11,000","57.89%","$19.99","80% ($3.99)","73% (64%)"
"4110","Word Rescue","17,000","30,000","13,000","76.47%","$4.99","50% ($2.49)","88% (N/A)"
"4111","No Lights","19,000","30,000","11,000","57.89%","$1.99","75% ($0.49)","72% (N/A)"
"4112","Armikrog","28,000","30,000","2,000","7.14%","$9.99","80% ($1.99)","55% (57%)"
"4113","CountDown","28,000","30,000","2,000","7.14%","$5.99","80% ($1.19)","N/A (N/A)"
"4114","Amerzone: The Explorer’s Legacy","22,000","30,000","8,000","36.36%","$4.99","80% ($0.99)","67% (N/A)"
"4115","The Official GamingTaylor Game, Great Job!","0","30,000","30,000","0%","$9.99","90% ($0.59)","N/A (N/A)"
"4116","HoloBall","25,000","30,000","5,000","20%","$14.99","50% ($7.49)","91% (N/A)"
"4117","Rayman Raving Rabbids","27,000","30,000","3,000","11.11%","$9.99","66% ($3.39)","73% (58%)"
"4118","#monstercakes","22,000","30,000","8,000","36.36%","$0.99","51% ($0.49)","91% (N/A)"
"4119","Carnivores: Dinosaur Hunter Reborn","26,000","30,000","4,000","15.38%","$14.99","50% ($7.49)","71% (N/A)"
"4120","A.I.M. Racing","28,000","30,000","2,000","7.14%","$2.99","77% ($0.68)","75% (N/A)"
"4121","Nightork Adventures - Beyond the Moons of Shadalee","13,000","30,000","17,000","130.77%","$1.99","75% ($0.49)","N/A (N/A)"
"4122","CLANNAD Side Stories","24,000","30,000","6,000","25%","$19.99","70% ($5.99)","91% (N/A)"
"4123","You Are Not A Banana: Better Edition","28,000","30,000","2,000","7.14%","$0.99","30% ($0.69)","73% (N/A)"
"4124","Treasures of the Ancients: Egypt","9,000","30,000","21,000","233.33%","$0.99","51% ($0.49)","N/A (N/A)"
"4125","Hidden Object Bundle 5 in 1","27,000","30,000","3,000","11.11%","$9.99","75% ($2.49)","53% (N/A)"
"4126","OrbusVR","18,000","30,000","12,000","66.67%","$39.99","30% ($27.99)","82% (N/A)"
"4127","Your Bunny Wrote","10,000","30,000","20,000","200%","$1.99","75% ($0.49)","92% (N/A)"
"4128","Tomb Raider - The Final Hours Digital Book","24,000","30,000","6,000","25%","$1.99","75% ($0.49)","90% (N/A)"
"4129","Dungeonbowl - Knockout Edition","27,000","30,000","3,000","11.11%","$12.99","90% ($1.29)","22% (N/A)"
"4130","Arcane Worlds","28,000","30,000","2,000","7.14%","$9.99","0% ($9.99)","61% (N/A)"
"4131","Supreme Ruler 1936","27,000","30,000","3,000","11.11%","$12.99","80% ($2.59)","74% (N/A)"
"4132","Please, Don't Touch Anything 3D","21,000","30,000","9,000","42.86%","$14.99","65% ($5.24)","82% (N/A)"
"4133","NoLimits 2 Roller Coaster Simulation","27,000","30,000","3,000","11.11%","$39.99","40% ($23.99)","89% (N/A)"
"4134","Acceleration of SUGURI 2","7,000","30,000","23,000","328.57%","$8.99","25% ($6.74)","93% (N/A)"
"4135","Republique","28,000","30,000","2,000","7.14%","$9.99","80% ($4.99)","75% (N/A)"
"4136","Cubot","27,000","30,000","3,000","11.11%","$1.99","0% ($1.99)","90% (N/A)"
"4137","Pizza Express","26,000","30,000","4,000","15.38%","$6.99","90% ($0.69)","91% (N/A)"
"4138","Sébastien Loeb Rally EVO","21,000","30,000","9,000","42.86%","$19.99","75% ($4.99)","48% (N/A)"
"4139","Secret Files 2: Puritas Cordis","23,000","30,000","7,000","30.43%","$9.99","75% ($2.49)","76% (64%)"
"4140","Theatre Of The Absurd","27,000","30,000","3,000","11.11%","$4.99","90% ($0.49)","81% (N/A)"
"4141","Nancy Drew: Shadow at the Water's Edge","26,000","30,000","4,000","15.38%","$6.99","40% ($4.19)","69% (N/A)"
"4142","Clans","28,000","30,000","2,000","7.14%","$2.99","83% ($0.5)","61% (N/A)"
"4143","Phoning Home","22,000","30,000","8,000","36.36%","$19.99","80% ($3.99)","71% (61%)"
"4144","Perimeter","20,000","30,000","10,000","50%","$3.99","75% ($0.99)","81% (77%)"
"4145","Jelly Killer","20,000","30,000","10,000","50%","$3.99","88% ($0.49)","79% (N/A)"
"4146","The Temporal Invasion","26,000","30,000","4,000","15.38%","$6.99","65% ($2.44)","75% (N/A)"
"4147","Salammbô: Battle for Carthage","28,000","30,000","2,000","7.14%","$4.99","60% ($1.99)","77% (77%)"
"4148","The Cat! Porfirio's Adventure","23,000","30,000","7,000","30.43%","$3.99","87% ($0.51)","86% (N/A)"
"4149","Project First Contact","15,000","30,000","15,000","100%","$2.99","84% ($0.49)","41% (N/A)"
"4150","Save Your Mother","22,000","30,000","8,000","36.36%","$3.99","50% ($1.99)","68% (N/A)"
"4151","The Treasures of Montezuma 4","28,000","30,000","2,000","7.14%","$6.99","90% ($0.69)","83% (N/A)"
"4152","To Ash","12,000","30,000","18,000","150%","$1.99","50% ($0.99)","100% (N/A)"
"4153","Redeemer","25,000","30,000","5,000","20%","$14.99","80% ($2.99)","78% (64%)"
"4154","Captain Firebeard and the Bay of Crows","19,000","29,000","10,000","52.63%","$5.99","80% ($1.19)","N/A (N/A)"
"4155","Space Drifters 2D","19,000","29,000","10,000","52.63%","$0.99","51% ($0.49)","80% (N/A)"
"4156","Ski Sniper","15,000","29,000","14,000","93.33%","$4.99","0% ($4.99)","83% (N/A)"
"4157","Plankton","22,000","29,000","7,000","31.82%","$1.99","20% ($1.59)","78% (N/A)"
"4158","Cliff Empire","20,000","29,000","9,000","45%","$8.99","10% ($8.09)","90% (N/A)"
"4159","Raptor: Call of the Shadows (1994 Classic Edition)","14,000","29,000","15,000","107.14%","$4.99","50% ($2.49)","94% (N/A)"
"4160","Romopolis","27,000","29,000","2,000","7.41%","$3.99","75% ($0.99)","68% (N/A)"
"4161","Raptor: Call of The Shadows - 2015 Edition","26,000","29,000","3,000","11.54%","$4.99","50% ($2.49)","77% (N/A)"
"4162","Race for the Galaxy","3,000","29,000","26,000","866.67%","$6.99","30% ($4.89)","79% (N/A)"
"4163","Calvino Noir","27,000","29,000","2,000","7.41%","$6.99","90% ($0.69)","65% (55%)"
"4164","Sudden Strike 2 Gold","25,000","29,000","4,000","16%","$5.99","75% ($1.49)","83% (N/A)"
"4165","Juicy Realm","19,000","29,000","10,000","52.63%","$9.99","25% ($7.49)","73% (N/A)"
"4166","Space Girls","21,000","29,000","8,000","38.1%","$0.99","51% ($0.49)","45% (N/A)"
"4167","Tomoyo After ~It's a Wonderful Life~ English Edition","27,000","29,000","2,000","7.41%","$19.99","70% ($5.99)","95% (N/A)"
"4168","Nanofights","13,000","29,000","16,000","123.08%","$1.99","75% ($0.49)","N/A (N/A)"
"4169","Warlords Battlecry III","21,000","29,000","8,000","38.1%","$9.99","40% ($5.99)","77% (73%)"
"4170","FIVE: Guardians of David","17,000","29,000","12,000","70.59%","$9.99","75% ($2.49)","68% (66%)"
"4171","Midnight Outlaw: 6 Hours to SunUp","10,000","29,000","19,000","190%","$9.99","75% ($2.49)","16% (N/A)"
"4172","Megaquarium","0","29,000","29,000","0%","$24.99","20% ($19.99)","90% (75%)"
"4173","8-Bit Invaders!","26,000","29,000","3,000","11.54%","$14.99","67% ($4.94)","80% (N/A)"
"4174","Band of Defenders","8,000","29,000","21,000","262.5%","$13.99","40% ($8.39)","56% (N/A)"
"4175","Adventurezator: When Pigs Fly","25,000","29,000","4,000","16%","$19.99","80% ($3.99)","70% (N/A)"
"4176","Tropical Liquor","17,000","29,000","12,000","70.59%","$9.99","40% ($5.99)","82% (N/A)"
"4177","Noob Squad","26,000","29,000","3,000","11.54%","$0.99","51% ($0.49)","41% (N/A)"
"4178","IS Defense","27,000","29,000","2,000","7.41%","$5.99","60% ($2.39)","94% (50%)"
"4179","Trainz: Classic Cabon City","26,000","29,000","3,000","11.54%","$19.99","65% ($6.99)","21% (N/A)"
"4180","RAID: World War II","27,000","29,000","2,000","7.41%","$19.99","75% ($4.99)","54% (53%)"
"4181","Magic Technology","22,000","29,000","7,000","31.82%","$2.99","75% ($1.74)","70% (N/A)"
"4182","Solitaire Beach Season","23,000","29,000","6,000","26.09%","$4.99","90% ($0.49)","N/A (N/A)"
"4183","MANOS","26,000","29,000","3,000","11.54%","$2.99","60% ($1.19)","86% (N/A)"
"4184","Pulstar","22,000","29,000","7,000","31.82%","$1.99","75% ($0.49)","68% (N/A)"
"4185","Space Hulk: Deathwing - Enhanced Edition","18,000","29,000","11,000","61.11%","$39.99","66% ($13.59)","68% (N/A)"
"4186","Hentai Memory","0","29,000","29,000","0%","$0.99","51% ($0.49)","91% (N/A)"
"4187","Super Fancy Pants Adventure","15,000","29,000","14,000","93.33%","$9.99","40% ($5.99)","87% (N/A)"
"4188","ORCS","24,000","29,000","5,000","20.83%","$1.99","75% ($0.49)","85% (N/A)"
"4189","Cross of the Dutchman","17,000","29,000","12,000","70.59%","$8.99","65% ($3.14)","71% (59%)"
"4190","Simple VR Video Player","26,000","29,000","3,000","11.54%","$7.99","0% ($7.99)","78% (N/A)"
"4191","Cloudlands : VR Minigolf","27,000","29,000","2,000","7.41%","$19.99","50% ($9.99)","83% (N/A)"
"4192","Lost Horizon 2","26,000","29,000","3,000","11.54%","$14.99","75% ($3.74)","46% (58%)"
"4193","河洛群俠傳 (Ho Tu Lo Shu ： The Books of Dragon)","0","29,000","29,000","0%","$17.99","10% ($16.19)","60% (N/A)"
"4194","Druid","7,000","29,000","22,000","314.29%","$1.99","75% ($0.49)","95% (N/A)"
"4195","Go Home Dinosaurs!","26,000","29,000","3,000","11.54%","$9.99","75% ($2.49)","94% (N/A)"
"4196","Arctico","25,000","29,000","4,000","16%","$9.99","70% ($2.99)","72% (N/A)"
"4197","Mystery Of Rivenhallows","23,000","29,000","6,000","26.09%","$2.99","80% ($0.59)","20% (N/A)"
"4198","Academia : School Simulator","21,000","29,000","8,000","38.1%","$19.99","25% ($14.99)","69% (N/A)"
"4199","RIOT - Civil Unrest","21,000","29,000","8,000","38.1%","$12.99","33% ($8.7)","69% (N/A)"
"4200","Super Dungeon Boy","18,000","29,000","11,000","61.11%","$0.99","51% ($0.49)","77% (N/A)"
"4201","Minit","15,000","29,000","14,000","93.33%","$9.99","40% ($5.99)","93% (79%)"
"4202","Nights of Azure","24,000","29,000","5,000","20.83%","$29.99","30% ($20.99)","69% (64%)"
"4203","Miner Meltdown","15,000","29,000","14,000","93.33%","$6.99","70% ($2.09)","73% (N/A)"
"4204","Carrier Deck","13,000","29,000","16,000","123.08%","$9.99","50% ($4.99)","85% (N/A)"
"4205","KNIGHTS","27,000","29,000","2,000","7.41%","$0.99","51% ($0.49)","95% (N/A)"
"4206","Undead Hunter","25,000","29,000","4,000","16%","$1.99","50% ($0.99)","N/A (N/A)"
"4207","Delta Force Land Warrior","26,000","29,000","3,000","11.54%","$9.99","75% ($2.49)","91% (74%)"
"4208","The Fall of the Dungeon Guardians - Enhanced Edition","26,000","29,000","3,000","11.54%","$19.99","75% ($4.99)","85% (N/A)"
"4209","Empress Of The Deep","27,000","29,000","2,000","7.41%","$4.99","90% ($0.49)","64% (N/A)"
"4210","Super Star Path","22,000","29,000","7,000","31.82%","$4.99","75% ($0.49)","83% (N/A)"
"4211","Masha Rescues Grandma","15,000","29,000","14,000","93.33%","$3.99","87% ($0.51)","47% (N/A)"
"4212","Dynamite Alex","25,000","29,000","4,000","16%","$0.99","51% ($0.49)","60% (N/A)"
"4213","Trash Story","1,000","29,000","28,000","2800%","$0.99","51% ($0.49)","90% (N/A)"
"4214","Crazy Pixel Streaker","24,000","29,000","5,000","20.83%","$4.99","75% ($1.24)","54% (N/A)"
"4215","BattleRush 2","0","29,000","29,000","0%","$4.99","10% ($4.49)","71% (N/A)"
"4216","Adventure Time: Finn and Jake's Epic Quest","25,000","29,000","4,000","16%","$9.99","33% ($6.69)","75% (N/A)"
"4217","All That Remains","6,000","29,000","23,000","383.33%","$3.99","50% ($1.99)","N/A (N/A)"
"4218","Tower 57","11,000","28,000","17,000","154.55%","$11.99","55% ($5.39)","71% (72%)"
"4219","Serafina's Crown","18,000","28,000","10,000","55.56%","$7.99","66% ($2.71)","83% (N/A)"
"4220","Ascension: Deckbuilding Game","15,000","28,000","13,000","86.67%","$9.99","60% ($3.99)","79% (N/A)"
"4221","Engare","8,000","28,000","20,000","250%","$6.99","25% ($5.24)","96% (N/A)"
"4222","Stay Close","19,000","28,000","9,000","47.37%","$8.99","34% ($5.93)","57% (N/A)"
"4223","Small Town Terrors Pilgrim's Hook Collector's Edition","19,000","28,000","9,000","47.37%","$14.99","75% ($3.74)","81% (N/A)"
"4224","ROOT","9,000","28,000","19,000","211.11%","$9.99","90% ($0.99)","77% (N/A)"
"4225","Collider","20,000","28,000","8,000","40%","$2.99","0% ($2.99)","N/A (N/A)"
"4226","Siralim","23,000","28,000","5,000","21.74%","$9.99","90% ($0.99)","85% (N/A)"
"4227","Pain Train 2","8,000","28,000","20,000","250%","$6.99","90% ($0.69)","40% (N/A)"
"4228","Sky Force Reloaded","20,000","28,000","8,000","40%","$9.99","50% ($4.99)","93% (N/A)"
"4229","Conception II: Children of the Seven Stars","23,000","28,000","5,000","21.74%","$19.99","70% ($5.99)","85% (N/A)"
"4230","Pixel Space","24,000","28,000","4,000","16.67%","$4.99","0% ($4.99)","N/A (N/A)"
"4231","Battlepillars Gold Edition","25,000","28,000","3,000","12%","$4.99","50% ($2.49)","89% (N/A)"
"4232","Ys VIII: Lacrimosa of DANA / イースVIII-Lacrimosa of DANA-","18,000","28,000","10,000","55.56%","$59.99","20% ($47.99)","61% (69%)"
"4233","The Floor is Jelly","24,000","28,000","4,000","16.67%","$9.99","90% ($0.99)","80% (83%)"
"4234","Lucidity","24,000","28,000","4,000","16.67%","$5.99","66% ($2.03)","70% (59%)"
"4235","Command: Modern Air / Naval Operations WOTY","26,000","28,000","2,000","7.69%","$79.99","67% ($26.39)","84% (N/A)"
"4236","Government Simulator","8,000","28,000","20,000","250%","$9.99","0% ($9.99)","46% (N/A)"
"4237","WWE 2K19","0","28,000","28,000","0%","$59.99","50% ($29.99)","67% (N/A)"
"4238","Sneak Thief","23,000","28,000","5,000","21.74%","$9.99","50% ($4.99)","71% (N/A)"
"4239","EVE: Valkyrie – Warzone","24,000","28,000","4,000","16.67%","$29.99","50% ($14.99)","58% (N/A)"
"4240","Super Army of Tentacles 3: The Search for Army of Tentacles 2","26,000","28,000","2,000","7.69%","$10.99","40% ($6.59)","N/A (N/A)"
"4241","LoveChoice 拣爱","0","28,000","28,000","0%","$1.99","40% ($1.19)","94% (N/A)"
"4242","Elliot Quest","25,000","28,000","3,000","12%","$9.99","0% ($9.99)","72% (N/A)"
"4243","An Alien with a Magnet","18,000","28,000","10,000","55.56%","$2.99","70% ($0.89)","N/A (N/A)"
"4244","ADOM (Ancient Domains Of Mystery)","24,000","28,000","4,000","16.67%","$14.99","10% ($13.49)","88% (N/A)"
"4245","Thrillville: Off the Rails","25,000","28,000","3,000","12%","$9.99","66% ($3.39)","87% (70%)"
"4246","Save the Dodos","20,000","28,000","8,000","40%","$2.99","84% ($0.49)","91% (N/A)"
"4247","TO THE TOP","18,000","28,000","10,000","55.56%","$19.99","50% ($9.99)","90% (N/A)"
"4248","The Cat Games","20,000","28,000","8,000","40%","$1.99","50% ($0.99)","90% (N/A)"
"4249","10 Second Ninja X","25,000","28,000","3,000","12%","$9.99","75% ($2.49)","90% (N/A)"
"4250","The Jackbox Party Pack 5","0","28,000","28,000","0%","$29.99","25% ($22.49)","84% (N/A)"
"4251","Bleeding Border","19,000","28,000","9,000","47.37%","$4.99","50% ($2.49)","N/A (N/A)"
"4252","Plancon: Space Conflict","23,000","28,000","5,000","21.74%","$6.99","90% ($0.69)","45% (N/A)"
"4253","Zup! X","12,000","28,000","16,000","133.33%","$0.99","30% ($0.69)","96% (N/A)"
"4254","Pretentious Game","23,000","28,000","5,000","21.74%","$1.99","50% ($0.99)","77% (N/A)"
"4255","Witch Hunt","8,000","28,000","20,000","250%","$9.99","15% ($8.49)","88% (N/A)"
"4256","Goggles - World of Vaporia","22,000","28,000","6,000","27.27%","$7.99","0% ($7.99)","N/A (N/A)"
"4257","Death Stair","23,000","28,000","5,000","21.74%","$1.99","83% ($0.49)","64% (N/A)"
"4258","Princess Maker 2 Refine","22,000","28,000","6,000","27.27%","$19.99","60% ($7.99)","92% (N/A)"
"4259","Professional Lumberjack 2015","22,000","28,000","6,000","27.27%","$19.99","75% ($4.99)","10% (N/A)"
"4260","FoxyLand","20,000","28,000","8,000","40%","$2.99","65% ($1.04)","75% (N/A)"
"4261","Moekuri: Adorable + Tactical SRPG","20,000","28,000","8,000","40%","$11.99","60% ($4.79)","89% (N/A)"
"4262","Blackwater Bayou VR","13,000","28,000","15,000","115.38%","$0.99","51% ($0.49)","27% (N/A)"
"4263","Pixel Gladiator","20,000","28,000","8,000","40%","$4.99","80% ($0.99)","77% (N/A)"
"4264","Third Front: WWII","18,000","28,000","10,000","55.56%","$7.99","75% ($1.99)","66% (N/A)"
"4265","Zombie Estate 2","13,000","28,000","15,000","115.38%","$4.99","50% ($2.49)","99% (N/A)"
"4266","Disgaea 5 Complete / 魔界戦記ディスガイア5","0","28,000","28,000","0%","$39.99","25% ($29.99)","80% (N/A)"
"4267","SpyParty","12,000","28,000","16,000","133.33%","$24.99","0% ($24.99)","81% (N/A)"
"4268","DeathMetal","23,000","28,000","5,000","21.74%","$2.99","75% ($0.74)","83% (N/A)"
"4269","The Club","26,000","28,000","2,000","7.69%","$14.99","90% ($1.49)","50% (67%)"
"4270","Stop Online - Battle of Words","18,000","28,000","10,000","55.56%","$4.99","0% ($4.99)","62% (N/A)"
"4271","Disney Pirates of the Caribbean: At Worlds End","14,000","28,000","14,000","100%","$19.99","70% ($5.99)","63% (N/A)"
"4272","位面穿越者-三国传(A Bit Crosser-Three Kingdoms)","25,000","28,000","3,000","12%","$1.99","70% ($0.59)","46% (N/A)"
"4273","Fist of love","0","28,000","28,000","0%","$0.99","20% ($0.79)","84% (N/A)"
"4274","Hidden Object 6-in-1 bundle","25,000","28,000","3,000","12%","$11.99","75% ($2.99)","84% (N/A)"
"4275","Chasm","5,000","28,000","23,000","460%","$19.99","15% ($16.99)","67% (72%)"
"4276","room13","26,000","28,000","2,000","7.69%","$7.99","80% ($1.59)","90% (N/A)"
"4277","Red Comrades Save the Galaxy: Reloaded","19,000","28,000","9,000","47.37%","$3.99","60% ($1.59)","94% (N/A)"
"4278","Beautiful Japanese Scenery - Animated Jigsaws","7,000","28,000","21,000","300%","$9.99","90% ($0.99)","87% (N/A)"
"4279","PONCHO","20,000","28,000","8,000","40%","$9.99","75% ($2.49)","68% (62%)"
"4280","!AnyWay!","1,000","27,000","26,000","2600%","$1.99","75% ($0.49)","65% (N/A)"
"4281","Baseball Mogul Diamond","22,000","27,000","5,000","22.73%","$11.99","80% ($2.39)","90% (N/A)"
"4282","Megapolis","23,000","27,000","4,000","17.39%","$3.99","75% ($0.99)","68% (N/A)"
"4283","Music Racer","0","27,000","27,000","0%","$1.99","50% ($0.99)","93% (N/A)"
"4284","Daily Run","2,000","27,000","25,000","1250%","$0.99","0% ($0.99)","N/A (N/A)"
"4285","Realms of Chaos","16,000","27,000","11,000","68.75%","$4.99","50% ($2.49)","N/A (N/A)"
"4286","The Darkside Detective","13,000","27,000","14,000","107.69%","$12.99","40% ($7.79)","96% (75%)"
"4287","Albino Lullaby: Episode 1","20,000","27,000","7,000","35%","$9.99","40% ($5.99)","74% (N/A)"
"4288","Wick","23,000","27,000","4,000","17.39%","$5.99","50% ($2.99)","87% (N/A)"
"4289","The first thrust of God","9,000","27,000","18,000","200%","$6.99","75% ($1.74)","N/A (N/A)"
"4290","Easy Red","15,000","27,000","12,000","80%","$3.99","40% ($2.39)","82% (N/A)"
"4291","A Game of Changes","24,000","27,000","3,000","12.5%","$4.99","75% ($1.24)","N/A (N/A)"
"4292","Construction Machines Simulator 2016","21,000","27,000","6,000","28.57%","$9.99","75% ($2.49)","43% (N/A)"
"4293","Oh No! Bugs!","22,000","27,000","5,000","22.73%","$1.99","60% ($0.49)","78% (N/A)"
"4294","Meltys Quest","22,000","27,000","5,000","22.73%","$19.99","40% ($11.99)","97% (N/A)"
"4295","Space Food Truck","13,000","27,000","14,000","107.69%","$9.99","75% ($2.49)","68% (N/A)"
"4296","Hypt","16,000","27,000","11,000","68.75%","$4.99","0% ($4.99)","88% (N/A)"
"4297","Enola","25,000","27,000","2,000","8%","$14.99","90% ($1.49)","65% (N/A)"
"4298","Paint it Back","12,000","27,000","15,000","125%","$7.99","50% ($3.99)","98% (N/A)"
"4299","Shad'O","23,000","27,000","4,000","17.39%","$4.99","75% ($1.24)","59% (68%)"
"4300","One Night Stand","23,000","27,000","4,000","17.39%","$2.99","50% ($1.49)","90% (N/A)"
"4301","Just Dance 2017","24,000","27,000","3,000","12.5%","$49.99","66% ($16.99)","82% (N/A)"
"4302","Pretty Girls Panic!","23,000","27,000","4,000","17.39%","$1.99","50% ($0.99)","85% (N/A)"
"4303","Zotrix - Solar Division","25,000","27,000","2,000","8%","$14.99","50% ($7.49)","69% (N/A)"
"4304","Of Carrots And Blood","22,000","27,000","5,000","22.73%","$2.99","0% ($2.99)","85% (N/A)"
"4305","Ninja Way","18,000","27,000","9,000","50%","$1.99","75% ($0.49)","73% (N/A)"
"4306","Heroic Dungeon","18,000","27,000","9,000","50%","$3.99","30% ($2.79)","67% (N/A)"
"4307","Mugen Souls","21,000","27,000","6,000","28.57%","$19.99","75% ($4.99)","68% (N/A)"
"4308","Bad North","0","27,000","27,000","0%","$14.99","10% ($13.49)","80% (N/A)"
"4309","The Flock","23,000","27,000","4,000","17.39%","$16.99","66% ($5.77)","37% (36%)"
"4310","Serious Sam's Bogus Detour","19,000","27,000","8,000","42.11%","$14.99","50% ($7.49)","83% (76%)"
"4311","Vampires!","20,000","27,000","7,000","35%","$1.99","75% ($0.49)","76% (N/A)"
"4312","1bitHeart","19,000","27,000","8,000","42.11%","$2.99","30% ($2.09)","96% (N/A)"
